Age,Temp,CO2,CH4,GAST_2.5,GAST,GAST_97.5,Eccentricity,Obliquity,Precession
-658,"-7,4772","191,01","346,31","-7,6","-4,59","-1,88","0,02548948825","23,71828643","75,87347595"
-657,"-7,0566","197,86","386,89","-7,49","-4,61","-1,95","0,02459155815","23,74419113","91,3192692"
-656,"-6,8037","197,03","413,04","-7,64","-4,57","-1,87","0,02371987248","23,75983121","106,884287"
-655,"-7,3021","192,67","402,48","-7,63","-4,61","-1,6","0,02275948931","23,76454034","121,9792367"
-654,"-7,7825","188,53","400,16","-7,62","-4,54","-2,11","0,02182458409","23,75792217","137,1611737"
-653,"-7,8023","185,65","406,73","-7,34","-4,23","-1,47","0,02091696032","23,73991375","151,9752345"
-652,"-7,4755","189,79","410,66","-7,1","-4,04","-1,04","0,01998460355","23,71055329","166,6704067"
-651,"-7,3898","188,49","413,18","-6,94","-3,85","-1,05","0,01904629971","23,67039071","181,178469"
-650,"-7,2549","192,62","418,55","-6,8","-3,81","-0,92","0,01820565675","23,62031787","195,1609404"
-649,"-7,2566","192,32","425,27","-6,68","-3,63","-0,92","0,0173310657","23,56139974","209,145948"
-648,"-7,6007","190,99","427,2","-6,56","-3,67","-1,2","0,01654529915","23,49515386","222,6493533"
-647,"-7,7874","189,21","428,54","-6,59","-3,67","-1,31","0,01579638026","23,42344976","235,6284714"
-646,"-7,704","192,06",429,"-6,53","-3,91","-1,5","0,01513828276","23,34817391","248,4170024"
-645,"-7,6849","194,31",429,"-7,03","-4,25","-1,62","0,01458987397","23,2715746","260,8202206"
-644,"-7,7262","192,42","413,18","-7,2","-4,49","-1,93","0,01407319919","23,19572219","272,5060651"
-643,"-8,0603","190,35","381,8","-7,29","-4,56","-2,17","0,01378681544","23,12287533","284,2512024"
-642,"-8,4985","189,93","369,62","-7,53","-4,66","-2,2","0,01357663109","23,05511978","295,562792"
-641,"-8,856","189,26","371,03","-7,5","-4,69","-2,16","0,01349023618","22,99439086","306,6855001"
-640,"-8,8408","187,93","372,44","-7,59","-4,74","-2,09","0,01364003937","22,94241005","317,9322607"
-639,"-8,7219","190,95",373,"-7,86","-4,75","-2,02","0,01390009449","22,90090729","329,3217059"
-638,"-8,5378","194,16",373,"-7,47","-4,67","-2,29","0,01425091829","22,87109607","340,9213728"
-637,"-8,5113","193,05",373,"-7,33","-4,5","-1,84","0,0148702032","22,85405032","352,9304963"
-636,"-8,9028","193,59","368,92","-7,14","-4,32","-1,67","0,01547812238","22,8506522","5,308026834"
-635,"-8,9051","192,92","364,27","-7,13","-4,2","-1,84","0,01626441402","22,86121685","18,27464305"
-634,"-8,5729","193,29","362,75","-7,23","-4,21","-1,52","0,01711162955","22,88565853","31,45469678"
-633,"-8,3696","195,31","368,62","-7,2","-4,17","-1,71","0,01805061804","22,92367108","45,11980036"
-632,"-8,785","199,5","374,5","-6,87","-4,03","-1,64","0,01901361504","22,97417609","59,3683664"
-631,"-8,7415","199,73","370,39","-7,02","-3,89","-1,48","0,02004350426","23,03579439","73,53379714"
-630,"-8,5252","199,48","362,86","-6,76","-3,62","-1,17","0,02110547136","23,10679191","88,33440488"
-629,"-7,7845","200,64","357,31","-6,04","-3,19","-0,63","0,02220997043","23,18486841","103,2963135"
-628,"-6,2756",205,"371,84","-5,58","-2,83","-0,06","0,02327795276","23,26776007","118,3769423"
-627,"-4,7011","217,63","388,27","-5,18","-2,66","-0,13","0,02442639316","23,35309769","133,7419479"
-626,"-3,0945","229,97","474,15","-4,67","-2,22","0,23","0,0255761538","23,43819206","149,2310386"
-625,"-2,4054","236,24","529,14","-4,65","-1,96","0,78","0,02667064937","23,52078474","164,820451"
-624,"-2,646","237,91","572,93","-4,39","-1,88","0,64","0,02782371311","23,59873846","180,5565431"
-623,"-2,8157","239,25","630,81","-4,43","-1,79","0,87","0,02898663673","23,66981813","196,2865255"
-622,"-2,5543","242,27","638,75","-3,96","-1,48","0,95","0,03004760819","23,73242558","212,2748692"
-621,"-1,9961","244,28","608,76","-3,62","-1,17","1,18","0,03119016991","23,78497549","228,1022699"
-620,"-2,1263","246,01","603,64","-3,59","-1,07","1,41","0,03226702977","23,82601485","244,1367825"
-619,"-2,3029","247,82","603,02","-3,45","-0,98","1,62","0,03332367127","23,85459179","260,2277142"
-618,"-1,9395","250,88","605,74","-3,47","-1,12","1,18","0,03437760576","23,86991604","276,3112855"
-617,"-1,996","252,34","610,76","-3,6","-1,19","1,26","0,03533602428","23,87137783","292,4248021"
-616,"-1,3782","252,42","615,16","-3,59","-1,18","1,17","0,03640764958","23,85897411","308,7047504"
-615,"-1,0033","252,49","618,42","-3,42","-1,06","1,28","0,03726254884","23,83280188","324,9191173"
-614,"-1,0939","255,16","614,33","-3,45","-0,89","1,47","0,03818643012","23,79338839","341,2220846"
-613,"-1,1879","257,19","603,66","-3,22","-0,91","1,71","0,0390999819","23,74172634","357,5907211"
-612,"-1,4534","258,69","619,3","-3,31","-0,87","1,81","0,03984824994","23,67914946","14,01596244"
-611,"-1,4689","259,09","597,89","-3,28","-0,96","1,42","0,04065240535","23,60706626","30,51093654"
-610,"-1,1335","257,87","586,44","-3,25","-0,99","1,47","0,04139587024","23,52750047","46,99024061"
-609,"-1,5373","259,11","577,94","-3,44","-1,02","1,38","0,04204808929","23,44236021","63,68087754"
-608,"-2,0544","255,7","564,61","-3,58",-1,"1,56","0,04271279421","23,35375119","80,31005871"
-607,"-2,777","251,36","537,4","-3,86","-1,15","1,48","0,04328246811","23,26390894","97,01177162"
-606,"-3,274","247,35","533,55","-3,69","-1,15","1,64","0,04386733066","23,17497045","113,8603241"
-605,"-3,5001","244,21","514,57","-3,75","-1,01","1,24","0,04437448229","23,08892369","130,6550756"
-604,"-3,9866","240,36","510,61","-3,24","-0,91","1,35","0,04479995602","23,00794524","147,5484835"
-603,"-4,1993","238,52","526,74","-3,71","-1,09","1,09","0,04530546416","22,93369616","164,4761754"
-602,"-4,3105","236,82",538,"-3,76","-1,27","1,16","0,04563952899","22,86776154","181,4415283"
-601,"-4,8947","232,96","538,35","-3,66","-1,44",1,"0,04599097265","22,81177745","198,4327301"
-600,"-5,0397","230,61","535,61","-4,01","-1,45","0,75","0,04631982706","22,76682677","215,4275842"
-599,"-5,4537","226,94","542,57","-4,09","-1,47","0,96","0,046570481","22,7339892","232,4531783"
-598,"-6,2974","219,27","499,68","-4,13","-1,69","0,54","0,04680918161","22,71419809","249,5421665"
-597,"-6,5849","216,35","461,61","-4,21","-1,73","0,95","0,04696963605","22,70776497","266,4638277"
-596,"-5,5008","220,78","449,24","-4,34","-1,72","0,83","0,04716579384","22,71493027","283,5606337"
-595,"-4,0536","234,65","475,8","-4,15","-1,55","1,06","0,04723064046","22,73567704","300,5496686"
-594,"-4,4545","238,08","527,08","-4,17","-1,72","0,78","0,04730513722","22,76938316","317,4718915"
-593,"-5,1186",231,"502,29","-4,53","-1,65","0,81","0,04732756868","22,81535689","334,4645499"
-592,"-5,5943","228,06","478,23","-4,28","-1,76","0,75","0,04732742925","22,87253022","351,3495318"
-591,"-5,3428","236,5","447,22","-4,45","-1,91","0,81","0,04722230244","22,93956951","8,239485047"
-590,"-3,4766","246,83","464,32","-4,74","-1,92","0,49","0,0471613202","23,01498563","25,05204538"
-589,"-4,3839","248,48","471,78","-4,16","-1,77","0,79","0,04703171453","23,09731069","41,83888391"
-588,"-5,5059","238,41","458,22","-4,41","-1,64","0,82","0,04683123939","23,18479457","58,62037897"
-587,"-6,7161","227,19","459,8","-3,96","-1,52","0,78","0,04664277851","23,27593906","75,27231506"
-586,"-5,5094","222,18","471,27","-3,88","-1,46","1,02","0,04642237249","23,36908678","91,91701867"
